County,Median_Income_x,Age-Adjusted Incidence Rate,Average Annual Count,Age-Adjusted Death Rate,Average Deaths per Year
"Carroll County, Ohio",37767.0,79.7,31,53.7,21
"Carter County, Oklahoma",53521.0,77.6,45,64,38
"Carter County, Tennessee",29128.0,78.3,63,67.2,54
"Carteret County, North Carolina",54542.0,76.1,77,62.9,63
"Cascade County, Montana",83641.0,66.6,68,50.3,51
"Cass County, Iowa",33095.5,73.2,15,57.1,12
"Cass County, Missouri",49357.5,70.1,81,53.8,63
"Cass County, North Dakota",129656.0,59.8,80,37.3,50
"Cass County, Texas",28101.0,68.9,32,58.8,27
"Castro County, Texas",35714.0,50.7,5,35.5,3
"Catahoula Parish, Louisiana",22547.0,93,12,66.1,8
"Catawba County, North Carolina",44251.5,68.8,126,54,99
"Centre County, Pennsylvania",50018.75,53.1,77,37.9,56
"Chaffee County, Colorado",40649.0,36.9,11,30.6,8
"Chambers County, Alabama",37033.0,75.4,34,63.1,29
"Chambers County, Texas",91117.5,68.3,21,56.9,17
"Champaign County, Illinois",58969.0,62.4,107,42.4,73
"Charles Mix County, South Dakota",30209.0,48.9,6,34.5,4
"Charleston County, South Carolina",65394.0,65.5,257,45.7,177
"Chatham County, North Carolina",31471.0,53,52,38.5,39
"Chautauqua County, New York",54308.0,67.9,122,49.4,90
"Chaves County, New Mexico",41039.0,47.5,36,40.9,31
"Cheatham County, Tennessee",61588.0,92.3,38,80.6,32
"Chemung County, New York",47574.0,77,88,56.2,66
"Chenango County, New York",44096.0,71.9,49,52.1,35
"Cherokee County, Georgia",68506.0,73.2,135,46.7,84
"Cherokee County, Iowa",38866.0,47.6,10,36.3,8
"Cherokee County, Oklahoma",30578.0,79.3,41,66.4,34
"Cherokee County, South Carolina",30234.0,87.7,56,57.9,38
"Cherokee County, Texas",37081.0,83.3,51,60.3,37
"Chester County, Pennsylvania",63694.25,54,301,39.4,219
"Chester County, Tennessee",14171.0,76.7,16,48.5,10
"Chesterfield County, South Carolina",28631.0,81.2,45,69.2,37
"Chilton County, Alabama",30427.0,73.9,39,66,34
"Chippewa County, Wisconsin",31574.0,65.8,50,48.3,37
"Choctaw County, Oklahoma",19519.0,80.4,17,70.6,15
"Cibola County, New Mexico",33055.0,50.6,15,24.7,7
"Citrus County, Florida",56004.0,79.7,244,64.2,200
"Clackamas County, Oregon",73514.0,55.2,245,43.2,189
"Clallam County, Washington",25578.0,69.6,90,51.2,66
"Clarion County, Pennsylvania",37393.0,59.2,31,45.1,23
"Clark County, Indiana",46871.0,88.1,107,67.3,81
"Clark County, Missouri",38573.0,95.2,9,67.8,7
"Clarke County, Iowa",39124.0,70.6,9,58.4,7
"Clarke County, Virginia",74891.0,63.4,13,64.9,13
"Clay County, Arkansas",32066.0,108.7,26,80.1,20
"Clay County, Florida",56643.5,79.2,161,58.5,117
"Clay County, Illinois",32787.0,79.5,15,55.8,11
"Clay County, Iowa",42400.0,57.8,13,41.5,10
"Clay County, Missouri",49041.0,79,173,55.7,122
"Clay County, Nebraska",34592.0,54.1,5,41.9,4
"Clay County, Texas",55433.0,68.8,11,55.3,9
"Clayton County, Iowa",41903.0,60.3,16,37.1,10
"Clearfield County, Pennsylvania",33936.0,60.3,69,45.6,53
"Clearwater County, Idaho",37585.5,55.4,8,40.7,6
